ID,Qyteti,Klienti,Gjinia,Kategoria e produktit,Sasia,Data,Koha,Menyra e pageses,Te ardhura bruto,Vleresimi
232-11-3025,Tirane,Normal,Mashkull,Shendeti dhe bukuria,10,1/24/2021,10:04,Para ne dore,3938.5 Lek,6.4
382-03-4532,Tirane,Anetar,Femer,Sport dhe udhetime,1,2/2/2021,18:50,Para ne dore,91.65 Lek,4.3
393-65-2792,Vlore,Normal,Mashkull,Shtepia dhe stili i jeteses,10,1/6/2021,12:46,Karte krediti,4474 Lek,9.6
796-12-2025,Vlore,Normal,Mashkull,Tekstile,10,2/11/2021,16:19,Para ne dore,3106 Lek,5.9
510-95-6347,Durres,Anetar,Femer,Shtepia dhe stili i jeteses,3,3/5/2021,18:17,Para ne dore,727.8 Lek,4
841-35-6630,Vlore,Normal,Femer,Ushqime te thata dhe pije,6,3/9/2021,18:21,Para ne dore,2277.3 Lek,8.7
287-21-9091,Tirane,Normal,Mashkull,BIO-Organic,9,1/22/2021,10:55,Para ne dore,3360.15 Lek,9.4
732-94-0499,Vlore,Normal,Femer,Ushqime te thata dhe pije,10,1/13/2021,17:04,Karte krediti,2082.5 Lek,5.4
263-10-3913,Vlore,Anetar,Mashkull,Tekstile,9,1/9/2021,14:20,Karte krediti,2206.8 Lek,8.6
381-20-0914,Tirane,Anetar,Femer,Tekstile,9,1/12/2021,15:48,Karte krediti,900.45 Lek,5.7
829-49-1914,Vlore,Anetar,Femer,Shtepia dhe stili i jeteses,10,3/5/2021,16:24,Para ne dore,3915.5 Lek,6.6
756-01-7507,Vlore,Normal,Femer,Sport dhe udhetime,5,1/22/2021,18:56,Para ne dore,509.5 Lek,6
870-72-4431,Vlore,Normal,Femer,Sport dhe udhetime,6,1/21/2021,14:42,Karte krediti,2977.5 Lek,5.5
847-38-7188,Durres,Normal,Femer,Shtepia dhe stili i jeteses,3,1/26/2021,19:56,Para ne dore,1450.2 Lek,6.4
480-63-2856,Vlore,Normal,Mashkull,Shtepia dhe stili i jeteses,8,1/23/2021,18:37,Para ne dore,770 Lek,6.6
787-56-0757,Vlore,Anetar,Femer,Shtepia dhe stili i jeteses,4,2/23/2021,18:45,Karte krediti,1607.2 Lek,8.3
360-39-5055,Vlore,Anetar,Mashkull,Shendeti dhe bukuria,5,3/9/2021,10:17,Para ne dore,1222.75 Lek,6.6
730-50-9884,Vlore,Normal,Femer,Shendeti dhe bukuria,7,3/5/2021,14:31,Para ne dore,2907.1 Lek,4
362-58-8315,Vlore,Normal,Mashkull,Tekstile,5,3/25/2021,10:23,Para ne dore,1913 Lek,9.9
633-44-8566,Tirane,Anetar,Mashkull,Shtepia dhe stili i jeteses,7,3/27/2021,20:35,Karte krediti,1728.3 Lek,7.3
504-35-8843,Tirane,Normal,Mashkull,Shendeti dhe bukuria,1,1/2/2021,16:57,Para ne dore,212.35 Lek,5.7
318-68-5053,Durres,Normal,Femer,Sport dhe udhetime,6,2/27/2021,17:55,Para ne dore,2309.7 Lek,6.1
565-80-5980,Vlore,Anetar,Femer,BIO-Organic,4,1/23/2021,10:25,Para ne dore,947.6 Lek,7.1
225-32-0908,Vlore,Normal,Femer,Shendeti dhe bukuria,10,1/26/2021,19:54,Para ne dore,2243 Lek,8.2
873-51-0671,Tirane,Anetar,Femer,Shendeti dhe bukuria,7,1/10/2021,16:42,Para ne dore,769.3 Lek,5.1
152-08-9985,Durres,Anetar,Mashkull,Sport dhe udhetime,9,3/12/2021,12:09,Karte krediti,2896.2 Lek,8.6
512-91-0811,Vlore,Normal,Mashkull,Sport dhe udhetime,1,2/6/2021,20:05,Karte krediti,448.75 Lek,6.6
594-34-4444,Tirane,Normal,Mashkull,Ushqime te thata dhe pije,1,3/8/2021,20:38,Para ne dore,485.8 Lek,7.2
766-85-7061,Durres,Normal,Mashkull,Sport dhe udhetime,10,3/29/2021,10:25,Para ne dore,4393.5 Lek,5.1
871-39-9221,Vlore,Normal,Femer,Ushqime te thata dhe pije,6,2/9/2021,13:11,Para ne dore,373.5 Lek,4.1
865-92-6136,Tirane,Normal,Mashkull,Shtepia dhe stili i jeteses,3,3/23/2021,10:16,Para ne dore,791.25 Lek,9.3
733-01-9107,Durres,Normal,Mashkull,BIO-Organic,2,3/5/2021,18:14,Para ne dore,2481 Lek,7.4
163-56-7055,Vlore,Anetar,Mashkull,Tekstile,1,3/26/2021,19:20,Para ne dore,243.55 Lek,4.1
189-98-2939,Vlore,Normal,Mashkull,Tekstile,9,3/1/2021,13:22,Para ne dore,3534.75 Lek,7.2
551-21-3069,Vlore,Normal,Femer,Ushqime te thata dhe pije,9,2/1/2021,11:27,Para ne dore,1038.15 Lek,5.5
212-62-1842,Tirane,Normal,Mashkull,Shtepia dhe stili i jeteses,6,3/28/2021,16:44,Para ne dore,1747.80 Lek,9.9
716-39-1409,Durres,Normal,Mashkull,Sport dhe udhetime,7,3/19/2021,18:19,Para ne dore,1062.25 Lek,8
704-48-3927,Tirane,Anetar,Mashkull,Ushqime te thata dhe pije,10,1/12/2021,14:50,Para ne dore,4433.50 Lek,7.3
628-34-3388,Vlore,Normal,Mashkull,Tekstile,6,1/5/2021,20:54,Karte krediti,821.40 Lek,7.9
630-74-5166,Tirane,Normal,Mashkull,Shendeti dhe bukuria,6,3/22/2021,20:19,Para ne dore,1863.90 Lek,7.4
588-01-7461,Vlore,Normal,Femer,Shtepia dhe stili i jeteses,9,3/24/2021,10:43,Para ne dore,1529.10 Lek,4.2
861-77-0145,Vlore,Anetar,Mashkull,Ushqime te thata dhe pije,10,3/3/2021,14:30,Para ne dore,4098.50 Lek,9.2
479-26-8945,Durres,Anetar,Femer,Shendeti dhe bukuria,2,2/5/2021,11:32,Para ne dore,164.90 Lek,4.6
210-67-5886,Vlore,Anetar,Femer,Sport dhe udhetime,3,2/5/2021,10:41,Karte krediti,1473.15 Lek,7.8
227-78-1148,Durres,Normal,Femer,Tekstile,7,2/15/2021,12:44,Para ne dore,2549.40 Lek,8.4
645-44-1170,Tirane,Anetar,Mashkull,BIO-Organic,9,1/19/2021,20:07,Para ne dore,2613.15 Lek,4.3
237-01-6122,Vlore,Anetar,Femer,BIO-Organic,9,2/1/2021,20:31,Karte krediti,3635.55 Lek,9.5
225-98-1496,Vlore,Normal,Femer,Tekstile,3,3/2/2021,13:01,Karte krediti,405.30 Lek,7.1
291-32-1427,Durres,Anetar,Mashkull,Tekstile,5,3/5/2021,12:29,Para ne dore,548.50 Lek,5.3
659-65-8956,Durres,Anetar,Mashkull,Tekstile,1,1/16/2021,15:26,Para ne dore,256.80 Lek,5.2
642-32-2990,Tirane,Normal,Femer,Shtepia dhe stili i jeteses,10,2/2/2021,20:48,Para ne dore,548.00 Lek,6
378-24-2715,Durres,Normal,Mashkull,BIO-Organic,2,1/20/2021,20:38,Para ne dore,534.40 Lek,4.1
638-60-7125,Tirane,Normal,Femer,Ushqime te thata dhe pije,8,2/14/2021,17:03,Karte krediti,3982.40 Lek,5.2
659-36-1684,Vlore,Anetar,Mashkull,Shendeti dhe bukuria,7,1/12/2021,12:02,Karte krediti,1999.20 Lek,6.5
219-22-9386,Durres,Anetar,Mashkull,Shendeti dhe bukuria,9,3/9/2021,17:26,Karte krediti,4498.20 Lek,4.2
336-78-2147,Vlore,Anetar,Mashkull,BIO-Organic,8,3/13/2021,19:52,Karte krediti,2556.40 Lek,4.6
268-27-6179,Durres,Anetar,Femer,Tekstile,8,3/9/2021,14:57,Para ne dore,2258.80 Lek,7.3
668-90-8900,Tirane,Normal,Femer,BIO-Organic,7,3/10/2021,18:44,Karte krediti,3279.15 Lek,4.5
870-54-3162,Tirane,Normal,Femer,Shendeti dhe bukuria,5,1/27/2021,13:26,Para ne dore,806.25 Lek,9
189-08-9157,Vlore,Normal,Femer,Tekstile,9,1/8/2021,16:17,Karte krediti,1427.85 Lek,5.9
663-86-9076,Vlore,Anetar,Femer,Shtepia dhe stili i jeteses,8,1/8/2021,15:57,Para ne dore,2741.60 Lek,8.5
549-84-7482,Durres,Normal,Femer,Shendeti dhe bukuria,9,2/8/2021,11:15,Para ne dore,4062.60 Lek,7.2
191-10-6171,Durres,Normal,Femer,Tekstile,7,1/25/2021,13:18,Para ne dore,1386.70 Lek,7.5
802-70-5316,Tirane,Anetar,Femer,Shendeti dhe bukuria,6,3/6/2021,20:34,Para ne dore,2763.90 Lek,8.3
695-51-0018,Durres,Normal,Femer,Shendeti dhe bukuria,4,2/10/2021,18:36,Para ne dore,696.80 Lek,7.4
590-83-4591,Durres,Anetar,Mashkull,Ushqime te thata dhe pije,6,2/17/2021,14:40,Karte krediti,2623.50 Lek,8.8
483-71-1164,Vlore,Normal,Femer,Sport dhe udhetime,6,3/8/2021,16:43,Para ne dore,2439.00 Lek,5.3
597-78-7908,Vlore,Normal,Mashkull,Tekstile,3,2/18/2021,19:39,Para ne dore,1353.30 Lek,6.2
700-81-1757,Tirane,Normal,Femer,Ushqime te thata dhe pije,5,1/18/2021,20:59,Karte krediti,657.75 Lek,8.8
354-39-5160,Tirane,Anetar,Femer,BIO-Organic,6,2/18/2021,15:39,Para ne dore,1032.60 Lek,9.8
241-72-9525,Durres,Normal,Mashkull,Shendeti dhe bukuria,10,2/16/2021,12:21,Para ne dore,2595.50 Lek,8.2
575-30-8091,Tirane,Normal,Mashkull,Shendeti dhe bukuria,8,3/16/2021,19:25,Para ne dore,2900.00 Lek,9.2
731-81-9469,Vlore,Anetar,Femer,Shendeti dhe bukuria,10,1/23/2021,13:00,Karte krediti,4490.00 Lek,5.4
280-17-4359,Vlore,Anetar,Mashkull,Sport dhe udhetime,10,1/25/2021,13:48,Para ne dore,4525.00 Lek,8.1
338-65-2210,Vlore,Anetar,Femer,Sport dhe udhetime,10,2/5/2021,19:57,Para ne dore,3430.00 Lek,9.1
488-25-4221,Vlore,Anetar,Femer,Shtepia dhe stili i jeteses,1,2/22/2021,10:36,Karte krediti,152.05 Lek,8.4
239-10-7476,Tirane,Normal,Femer,BIO-Organic,6,1/21/2021,16:37,Para ne dore,2338.50 Lek,8
458-41-1477,Vlore,Normal,Femer,Sport dhe udhetime,6,3/8/2021,17:11,Karte krediti,1387.80 Lek,9.5
685-64-1609,Tirane,Anetar,Femer,Tekstile,10,2/10/2021,12:28,Para ne dore,1507.00 Lek,9.2
568-90-5112,Vlore,Normal,Mashkull,Sport dhe udhetime,4,3/19/2021,12:46,Karte krediti,1322.80 Lek,5.6
262-47-2794,Durres,Anetar,Mashkull,BIO-Organic,8,3/6/2021,15:07,Karte krediti,2874.40 Lek,6.2
238-49-0436,Tirane,Normal,Mashkull,Sport dhe udhetime,8,3/27/2021,13:48,Karte krediti,1298.40 Lek,4.9
608-96-3517,Durres,Anetar,Femer,Tekstile,4,3/23/2021,19:20,Karte krediti,1830.80 Lek,4.8
584-86-7256,Vlore,Anetar,Mashkull,Shendeti dhe bukuria,7,3/11/2021,16:07,Karte krediti,1209.60 Lek,7.3
746-94-0204,Tirane,Normal,Mashkull,Tekstile,9,1/29/2021,11:56,Karte krediti,3745.80 Lek,7.4
214-17-6927,Vlore,Normal,Femer,Shtepia dhe stili i jeteses,6,2/7/2021,18:23,Para ne dore,494.40 Lek,9.9
400-89-4171,Vlore,Normal,Femer,Shendeti dhe bukuria,8,1/28/2021,13:05,Para ne dore,3238.80 Lek,9.3
782-95-9291,Tirane,Anetar,Mashkull,Shtepia dhe stili i jeteses,5,2/20/2021,15:55,Karte krediti,2307.25 Lek,9
279-74-2924,Durres,Anetar,Mashkull,Ushqime te thata dhe pije,1,1/4/2021,19:40,Para ne dore,360.85 Lek,6.1
307-85-2293,Durres,Normal,Mashkull,BIO-Organic,5,3/7/2021,13:58,Para ne dore,1257.00 Lek,9.7
743-04-1105,Durres,Anetar,Mashkull,Sport dhe udhetime,9,3/30/2021,14:43,Para ne dore,4374.90 Lek,6
423-57-2993,Durres,Normal,Mashkull,Shendeti dhe bukuria,6,3/27/2021,19:18,Para ne dore,2801.70 Lek,10
894-41-5205,Vlore,Normal,Femer,Shtepia dhe stili i jeteses,8,1/19/2021,19:39,Karte krediti,1727.20 Lek,8.3
275-28-0149,Tirane,Normal,Mashkull,Shendeti dhe bukuria,1,2/25/2021,16:21,Para ne dore,318.45 Lek,6
101-17-6199,Tirane,Normal,Mashkull,Shtepia dhe stili i jeteses,7,3/13/2021,19:44,Karte krediti,1602.65 Lek,7
423-80-0988,Vlore,Normal,Mashkull,Shendeti dhe bukuria,2,1/30/2021,19:42,Para ne dore,764.00 Lek,6.5
548-46-9322,Durres,Normal,Mashkull,Shtepia dhe stili i jeteses,10,2/20/2021,15:24,Karte krediti,1995.00 Lek,5.9
505-02-0892,Durres,Anetar,Mashkull,Sport dhe udhetime,8,2/25/2021,14:12,Para ne dore,1702.80 Lek,5.6
234-65-2137,Vlore,Normal,Mashkull,BIO-Organic,10,1/16/2021,13:32,Para ne dore,4779.00 Lek,4.8
687-47-8271,Tirane,Normal,Mashkull,Tekstile,10,2/8/2021,16:20,Karte krediti,4949.00 Lek,8.7
796-32-9050,Tirane,Normal,Mashkull,Shtepia dhe stili i jeteses,6,1/19/2021,16:31,Para ne dore,1538.40 Lek,6.5
105-31-1824,Tirane,Anetar,Mashkull,Shendeti dhe bukuria,7,2/1/2021,15:10,Karte krediti,2433.20 Lek,8.5
249-42-3782,Tirane,Normal,Mashkull,Sport dhe udhetime,5,1/3/2021,11:36,Para ne dore,1750.25 Lek,5.5
316-55-4634,Durres,Anetar,Mashkull,Shtepia dhe stili i jeteses,5,1/26/2021,12:45,Karte krediti,2001.25 Lek,9.4
733-33-4967,Vlore,Normal,Mashkull,Ushqime te thata dhe pije,8,3/3/2021,19:17,Para ne dore,834.00 Lek,6.3
608-27-6295,Durres,Anetar,Mashkull,Ushqime te thata dhe pije,6,1/19/2021,17:34,Karte krediti,1586.70 Lek,9.8
414-12-7047,Durres,Normal,Mashkull,Shtepia dhe stili i jeteses,8,1/18/2021,12:04,Para ne dore,791.60 Lek,8.7
827-26-2100,Tirane,Anetar,Mashkull,BIO-Organic,9,3/21/2021,16:21,Para ne dore,1522.80 Lek,8.8
175-54-2529,Tirane,Anetar,Mashkull,Shtepia dhe stili i jeteses,8,3/3/2021,17:01,Karte krediti,886.80 Lek,9.6
139-52-2867,Vlore,Normal,Femer,Tekstile,7,2/13/2021,10:50,Karte krediti,787.85 Lek,4.8
407-63-8975,Tirane,Normal,Mashkull,Shtepia dhe stili i jeteses,6,3/23/2021,19:16,Para ne dore,2216.40 Lek,4.4
342-65-4817,Vlore,Anetar,Mashkull,Sport dhe udhetime,3,1/28/2021,16:47,Para ne dore,1302.00 Lek,9.9
130-98-8941,Vlore,Normal,Mashkull,Tekstile,7,2/9/2021,10:00,Para ne dore,2249.10 Lek,5.7
434-83-9547,Vlore,Anetar,Mashkull,Shtepia dhe stili i jeteses,8,1/23/2021,11:51,Para ne dore,1538.80 Lek,7.7
851-28-6367,Tirane,Anetar,Mashkull,Shendeti dhe bukuria,10,3/23/2021,10:55,Para ne dore,775.00 Lek,8
824-88-3614,Vlore,Normal,Mashkull,Sport dhe udhetime,8,1/25/2021,15:00,Para ne dore,1372.40 Lek,5.7
586-25-0848,Tirane,Normal,Femer,Shendeti dhe bukuria,7,3/4/2021,11:19,Karte krediti,431.90 Lek,6.7
895-66-0685,Durres,Anetar,Mashkull,Shtepia dhe stili i jeteses,3,3/5/2021,19:46,Para ne dore,271.20 Lek,8
305-14-0245,Durres,Anetar,Femer,BIO-Organic,8,3/3/2021,19:00,Para ne dore,3779.60 Lek,7.5
732-04-5373,Durres,Anetar,Mashkull,BIO-Organic,4,2/8/2021,10:53,Para ne dore,929.40 Lek,7
400-60-7251,Tirane,Normal,Mashkull,BIO-Organic,1,2/10/2021,12:50,Para ne dore,370.35 Lek,9.9
593-65-1552,Vlore,Normal,Femer,BIO-Organic,4,1/28/2021,20:50,Karte krediti,1396.20 Lek,5.9
284-34-9626,Durres,Normal,Femer,BIO-Organic,3,2/11/2021,10:39,Karte krediti,1155.60 Lek,7.2
437-58-8131,Durres,Normal,Femer,Tekstile,2,1/15/2021,13:41,Para ne dore,735.20 Lek,4.6
286-43-6208,Vlore,Normal,Femer,Shtepia dhe stili i jeteses,9,3/16/2021,19:08,Para ne dore,3951.00 Lek,9.2
641-43-2399,Durres,Normal,Mashkull,BIO-Organic,4,1/26/2021,20:23,Para ne dore,511.00 Lek,5.7
831-07-6050,Tirane,Normal,Mashkull,Ushqime te thata dhe pije,5,3/19/2021,11:30,Karte krediti,817.75 Lek,9.9
556-86-3144,Vlore,Anetar,Femer,Tekstile,1,1/13/2021,19:30,Para ne dore,371.45 Lek,5
848-24-9445,Vlore,Anetar,Mashkull,Sport dhe udhetime,2,3/26/2021,18:03,Para ne dore,437.00 Lek,4.9
856-22-8149,Tirane,Normal,Femer,BIO-Organic,1,3/23/2021,10:13,Para ne dore,126.45 Lek,6.1
699-01-4164,Vlore,Normal,Mashkull,Sport dhe udhetime,4,3/12/2021,19:58,Karte krediti,830.00 Lek,8.2
420-11-4919,Vlore,Anetar,Femer,Shtepia dhe stili i jeteses,5,2/17/2021,19:57,Karte krediti,1784.75 Lek,5.5
606-80-4905,Vlore,Anetar,Femer,Shendeti dhe bukuria,6,1/29/2021,10:01,Karte krediti,574.50 Lek,6.8
542-41-0513,Durres,Anetar,Femer,Ushqime te thata dhe pije,4,3/15/2021,11:57,Para ne dore,1149.80 Lek,6.6
426-39-2418,Vlore,Normal,Mashkull,Ushqime te thata dhe pije,7,1/14/2021,10:02,Para ne dore,2149.35 Lek,9.8
875-46-5808,Durres,Anetar,Mashkull,Sport dhe udhetime,10,2/6/2021,14:51,Para ne dore,1295.00 Lek,8.7
394-43-4238,Durres,Anetar,Mashkull,BIO-Organic,5,2/15/2021,12:42,Karte krediti,444.25 Lek,5.4
749-24-1565,Tirane,Normal,Femer,Sport dhe udhetime,9,1/3/2021,12:02,Para ne dore,1036.35 Lek,7.9
672-51-8681,Vlore,Anetar,Femer,Ushqime te thata dhe pije,9,1/4/2021,18:19,Karte krediti,2999.25 Lek,9.7
263-87-5680,Vlore,Anetar,Femer,BIO-Organic,10,3/18/2021,17:38,Para ne dore,1426.50 Lek,7.8
573-58-9734,Durres,Normal,Femer,Tekstile,3,3/28/2021,13:41,Para ne dore,455.55 Lek,5.1
817-69-8206,Durres,Normal,Femer,Ushqime te thata dhe pije,9,3/2/2021,19:42,Karte krediti,4487.85 Lek,6.5
888-02-0338,Tirane,Normal,Mashkull,Ushqime te thata dhe pije,9,1/25/2021,20:24,Para ne dore,1180.35 Lek,5.9
677-11-0152,Vlore,Normal,Femer,Shtepia dhe stili i jeteses,9,1/16/2021,18:08,Para ne dore,4196.70 Lek,8.8
142-63-6033,Durres,Normal,Mashkull,BIO-Organic,5,3/20/2021,19:17,Para ne dore,2309.00 Lek,4.9
